日期,代码,名称,收盘价,涨跌幅%,量比,战法信号,买入信号强度,操作建议
2026-01-06,601965,中国汽研,17.81,6.58,2.16,量增价涨 (主升),90%,主力强力介入，建议积极跟进或加仓。
2026-01-06,601990,南京证券,8.2,2.5,2.14,量增价涨 (主升),90%,主力强力介入，建议积极跟进或加仓。
2026-01-06,002112,未知,14.16,4.19,2.1,量增价涨 (主升),90%,主力强力介入，建议积极跟进或加仓。
2026-01-06,000166,未知,5.49,3.78,2.09,量增价涨 (主升),90%,主力强力介入，建议积极跟进或加仓。
2026-01-06,002673,未知,8.21,2.37,2.09,量增价涨 (主升),90%,主力强力介入，建议积极跟进或加仓。
2026-01-06,601136,首创证券,19.47,2.53,2.09,量增价涨 (主升),90%,主力强力介入，建议积极跟进或加仓。
2026-01-06,002131,未知,6.63,6.94,2.07,量增价涨 (主升),90%,主力强力介入，建议积极跟进或加仓。
2026-01-06,603035,常熟汽饰,16.19,3.32,2.07,量增价涨 (主升),90%,主力强力介入，建议积极跟进或加仓。
2026-01-06,000712,未知,12.61,3.45,2.06,量增价涨 (主升),90%,主力强力介入，建议积极跟进或加仓。
2026-01-06,605599,菜百股份,17.61,3.47,2.05,量增价涨 (主升),90%,主力强力介入，建议积极跟进或加仓。
2026-01-06,002766,未知,7.33,10.06,2.04,量增价涨 (主升),90%,主力强力介入，建议积极跟进或加仓。
2026-01-06,600864,哈投股份,6.94,3.27,2.03,量增价涨 (主升),90%,主力强力介入，建议积极跟进或加仓。
2026-01-06,002797,未知,7.16,2.58,2.03,量增价涨 (主升),90%,主力强力介入，建议积极跟进或加仓。
2026-01-06,002670,未知,17.62,3.04,2.02,量增价涨 (主升),90%,主力强力介入，建议积极跟进或加仓。
2026-01-06,601059,信达证券,18.22,2.42,2.01,量增价涨 (主升),90%,主力强力介入，建议积极跟进或加仓。
2026-01-06,601878,浙商证券,11.23,2.37,2.0,量增价涨 (主升),90%,主力强力介入，建议积极跟进或加仓。
2026-01-06,600061,国投资本,7.91,2.46,1.99,量增价涨 (主升),90%,主力强力介入，建议积极跟进或加仓。
2026-01-06,603466,风语筑,10.24,2.09,1.98,量增价涨 (主升),90%,主力强力介入，建议积极跟进或加仓。
2026-01-06,600918,中泰证券,6.75,2.12,1.97,量增价涨 (主升),90%,主力强力介入，建议积极跟进或加仓。
2026-01-06,603000,人民网,19.9,2.05,1.96,量增价涨 (主升),90%,主力强力介入，建议积极跟进或加仓。
2026-01-06,601788,光大证券,18.22,2.42,1.95,量增价涨 (主升),90%,主力强力介入，建议积极跟进或加仓。
2026-01-06,600556,天下秀,7.01,4.94,1.95,量增价涨 (主升),90%,主力强力介入，建议积极跟进或加仓。
2026-01-06,601615,明阳智能,16.2,9.98,1.94,量增价涨 (主升),90%,主力强力介入，建议积极跟进或加仓。
2026-01-06,600727,鲁北化工,7.11,3.19,1.94,量增价涨 (主升),90%,主力强力介入，建议积极跟进或加仓。
2026-01-06,600155,华创云信,6.91,3.29,1.93,量增价涨 (主升),90%,主力强力介入，建议积极跟进或加仓。
2026-01-06,002939,未知,10.65,3.0,1.93,量增价涨 (主升),90%,主力强力介入，建议积极跟进或加仓。
2026-01-06,600075,新疆天业,5.47,10.06,1.93,量增价涨 (主升),90%,主力强力介入，建议积极跟进或加仓。
2026-01-06,002500,未知,6.25,2.63,1.92,量增价涨 (主升),90%,主力强力介入，建议积极跟进或加仓。
2026-01-06,600621,华鑫股份,15.88,2.92,1.91,量增价涨 (主升),90%,主力强力介入，建议积极跟进或加仓。
2026-01-06,600869,远东股份,9.03,9.99,1.91,量增价涨 (主升),90%,主力强力介入，建议积极跟进或加仓。
2026-01-06,002513,未知,7.16,3.92,1.9,量增价涨 (主升),90%,主力强力介入，建议积极跟进或加仓。
2026-01-06,603161,科华控股,13.96,2.27,1.9,量增价涨 (主升),90%,主力强力介入，建议积极跟进或加仓。
2026-01-06,002140,未知,11.67,2.73,1.89,量增价涨 (主升),90%,主力强力介入，建议积极跟进或加仓。
2026-01-06,605399,晨光新材,14.11,3.14,1.88,量增价涨 (主升),90%,主力强力介入，建议积极跟进或加仓。
2026-01-06,000650,未知,6.25,2.29,1.87,量增价涨 (主升),90%,主力强力介入，建议积极跟进或加仓。
2026-01-06,603170,宝立食品,14.87,4.42,1.86,量增价涨 (主升),90%,主力强力介入，建议积极跟进或加仓。
2026-01-06,600390,五矿资本,5.81,3.57,1.86,量增价涨 (主升),90%,主力强力介入，建议积极跟进或加仓。
2026-01-06,000803,未知,7.83,4.12,1.85,量增价涨 (主升),90%,主力强力介入，建议积极跟进或加仓。
2026-01-06,002845,未知,14.79,3.14,1.85,量增价涨 (主升),90%,主力强力介入，建议积极跟进或加仓。
2026-01-06,002574,未知,5.86,3.72,1.84,量增价涨 (主升),90%,主力强力介入，建议积极跟进或加仓。
2026-01-06,002258,未知,13.57,3.98,1.83,量增价涨 (主升),90%,主力强力介入，建议积极跟进或加仓。
2026-01-06,601319,中国人保,9.8,3.92,1.82,量增价涨 (主升),90%,主力强力介入，建议积极跟进或加仓。
2026-01-06,601881,中国银河,16.48,2.74,1.81,量增价涨 (主升),90%,主力强力介入，建议积极跟进或加仓。
2026-01-06,601898,中煤能源,13.0,4.0,1.81,量增价涨 (主升),90%,主力强力介入，建议积极跟进或加仓。
2026-01-06,002926,未知,9.55,2.58,1.81,量增价涨 (主升),90%,主力强力介入，建议积极跟进或加仓。
2026-01-06,002274,未知,5.8,2.11,1.8,量增价涨 (主升),90%,主力强力介入，建议积极跟进或加仓。
2026-01-06,002225,未知,6.1,6.09,1.8,量增价涨 (主升),90%,主力强力介入，建议积极跟进或加仓。
2026-01-06,600718,东软集团,10.5,3.04,1.8,量增价涨 (主升),90%,主力强力介入，建议积极跟进或加仓。
2026-01-06,600958,东方证券,11.43,2.7,1.8,量增价涨 (主升),90%,主力强力介入，建议积极跟进或加仓。
2026-01-06,603101,汇嘉时代,10.28,5.01,1.8,量增价涨 (主升),90%,主力强力介入，建议积极跟进或加仓。
2026-01-06,603528,多伦科技,10.97,6.92,1.78,量增价涨 (主升),90%,主力强力介入，建议积极跟进或加仓。
2026-01-06,002648,未知,18.52,4.28,1.78,量增价涨 (主升),90%,主力强力介入，建议积极跟进或加仓。
2026-01-06,600841,动力新科,6.27,3.13,1.75,量增价涨 (主升),90%,主力强力介入，建议积极跟进或加仓。
2026-01-06,600135,乐凯胶片,10.51,6.48,1.75,量增价涨 (主升),90%,主力强力介入，建议积极跟进或加仓。
2026-01-06,600352,浙江龙盛,11.13,3.44,1.74,量增价涨 (主升),90%,主力强力介入，建议积极跟进或加仓。
2026-01-06,600667,太极实业,8.58,3.37,1.74,量增价涨 (主升),90%,主力强力介入，建议积极跟进或加仓。
2026-01-06,601108,财通证券,9.05,2.96,1.73,量增价涨 (主升),90%,主力强力介入，建议积极跟进或加仓。
2026-01-06,002355,未知,6.7,10.02,1.73,量增价涨 (主升),90%,主力强力介入，建议积极跟进或加仓。
2026-01-06,002945,未知,17.84,9.99,1.72,量增价涨 (主升),90%,主力强力介入，建议积极跟进或加仓。
2026-01-06,002667,未知,14.02,6.13,1.72,量增价涨 (主升),90%,主力强力介入，建议积极跟进或加仓。
2026-01-06,600409,三友化工,6.55,6.5,1.72,量增价涨 (主升),90%,主力强力介入，建议积极跟进或加仓。
2026-01-06,001239,未知,16.66,2.21,1.71,量增价涨 (主升),90%,主力强力介入，建议积极跟进或加仓。
2026-01-06,002456,未知,11.07,2.5,1.71,量增价涨 (主升),90%,主力强力介入，建议积极跟进或加仓。
2026-01-06,000948,未知,18.71,4.06,1.71,量增价涨 (主升),90%,主力强力介入，建议积极跟进或加仓。
2026-01-06,600960,渤海汽车,5.73,4.37,1.71,量增价涨 (主升),90%,主力强力介入，建议积极跟进或加仓。
2026-01-06,002795,未知,6.85,9.95,1.71,量增价涨 (主升),90%,主力强力介入，建议积极跟进或加仓。
2026-01-06,601116,三江购物,14.51,3.87,1.71,量增价涨 (主升),90%,主力强力介入，建议积极跟进或加仓。
2026-01-06,600318,新力金融,9.22,2.67,1.7,量增价涨 (主升),90%,主力强力介入，建议积极跟进或加仓。
2026-01-06,601133,柏诚股份,17.34,2.36,1.7,量增价涨 (主升),90%,主力强力介入，建议积极跟进或加仓。
2026-01-06,000695,未知,14.16,10.02,1.7,量增价涨 (主升),90%,主力强力介入，建议积极跟进或加仓。
2026-01-06,601236,红塔证券,8.53,2.4,1.7,量增价涨 (主升),90%,主力强力介入，建议积极跟进或加仓。
2026-01-06,600846,同济科技,14.32,7.67,1.7,量增价涨 (主升),90%,主力强力介入，建议积极跟进或加仓。
2026-01-06,002654,未知,15.08,3.57,1.7,量增价涨 (主升),90%,主力强力介入，建议积极跟进或加仓。
2026-01-06,002167,未知,13.1,3.31,1.69,量增价涨 (主升),90%,主力强力介入，建议积极跟进或加仓。
2026-01-06,600596,新安股份,12.34,6.29,1.69,量增价涨 (主升),90%,主力强力介入，建议积极跟进或加仓。
2026-01-06,000066,未知,14.98,2.46,1.68,量增价涨 (主升),90%,主力强力介入，建议积极跟进或加仓。
2026-01-06,601117,中国化学,7.75,2.65,1.68,量增价涨 (主升),90%,主力强力介入，建议积极跟进或加仓。
2026-01-06,002585,未知,7.42,5.55,1.68,量增价涨 (主升),90%,主力强力介入，建议积极跟进或加仓。
2026-01-06,002539,未知,12.5,4.6,1.68,量增价涨 (主升),90%,主力强力介入，建议积极跟进或加仓。
2026-01-06,601456,国联民生,10.23,3.96,1.68,量增价涨 (主升),90%,主力强力介入，建议积极跟进或加仓。
2026-01-06,002546,未知,7.28,2.1,1.67,量增价涨 (主升),90%,主力强力介入，建议积极跟进或加仓。
2026-01-06,000519,未知,19.07,3.08,1.67,量增价涨 (主升),90%,主力强力介入，建议积极跟进或加仓。
2026-01-06,002160,未知,5.79,10.08,1.67,量增价涨 (主升),90%,主力强力介入，建议积极跟进或加仓。
2026-01-06,000828,未知,11.05,2.5,1.67,量增价涨 (主升),90%,主力强力介入，建议积极跟进或加仓。
2026-01-06,600851,海欣股份,7.21,2.85,1.67,量增价涨 (主升),90%,主力强力介入，建议积极跟进或加仓。
2026-01-06,601377,兴业证券,7.77,4.16,1.66,量增价涨 (主升),90%,主力强力介入，建议积极跟进或加仓。
2026-01-06,002828,未知,11.07,3.26,1.66,量增价涨 (主升),90%,主力强力介入，建议积极跟进或加仓。
2026-01-06,600866,星湖科技,7.13,2.44,1.65,量增价涨 (主升),90%,主力强力介入，建议积极跟进或加仓。
2026-01-06,600746,江苏索普,7.17,3.31,1.64,量增价涨 (主升),90%,主力强力介入，建议积极跟进或加仓。
2026-01-06,002629,未知,7.22,4.79,1.64,量增价涨 (主升),90%,主力强力介入，建议积极跟进或加仓。
2026-01-06,002590,未知,15.82,4.49,1.64,量增价涨 (主升),90%,主力强力介入，建议积极跟进或加仓。
2026-01-06,600643,爱建集团,5.65,2.91,1.64,量增价涨 (主升),90%,主力强力介入，建议积极跟进或加仓。
2026-01-06,000050,未知,9.46,3.96,1.64,量增价涨 (主升),90%,主力强力介入，建议积极跟进或加仓。
2026-01-06,600149,廊坊发展,5.19,3.59,1.64,量增价涨 (主升),90%,主力强力介入，建议积极跟进或加仓。
2026-01-06,600773,西藏城投,13.16,4.86,1.64,量增价涨 (主升),90%,主力强力介入，建议积极跟进或加仓。
2026-01-06,605050,福然德,13.81,3.14,1.63,量增价涨 (主升),90%,主力强力介入，建议积极跟进或加仓。
2026-01-06,600676,交运股份,6.07,2.19,1.63,量增价涨 (主升),90%,主力强力介入，建议积极跟进或加仓。
2026-01-06,600295,鄂尔多斯,14.3,10.0,1.63,量增价涨 (主升),90%,主力强力介入，建议积极跟进或加仓。
2026-01-06,002488,未知,10.04,3.83,1.63,量增价涨 (主升),90%,主力强力介入，建议积极跟进或加仓。
2026-01-06,002996,未知,7.85,3.15,1.62,量增价涨 (主升),90%,主力强力介入，建议积极跟进或加仓。
2026-01-06,603316,诚邦股份,15.61,5.12,1.62,量增价涨 (主升),90%,主力强力介入，建议积极跟进或加仓。
2026-01-06,002387,未知,8.98,2.63,1.62,量增价涨 (主升),90%,主力强力介入，建议积极跟进或加仓。
2026-01-06,000822,未知,5.44,3.62,1.61,量增价涨 (主升),90%,主力强力介入，建议积极跟进或加仓。
2026-01-06,600063,皖维高新,6.17,3.7,1.61,量增价涨 (主升),90%,主力强力介入，建议积极跟进或加仓。
2026-01-06,603505,金石资源,19.27,3.27,1.61,量增价涨 (主升),90%,主力强力介入，建议积极跟进或加仓。
2026-01-06,605555,德昌股份,19.45,2.91,1.61,量增价涨 (主升),90%,主力强力介入，建议积极跟进或加仓。
2026-01-06,603222,济民健康,9.76,3.17,1.6,量增价涨 (主升),90%,主力强力介入，建议积极跟进或加仓。
2026-01-06,000925,未知,9.13,2.7,1.6,量增价涨 (主升),90%,主力强力介入，建议积极跟进或加仓。
2026-01-06,600470,六国化工,6.28,4.49,1.58,量增价涨 (主升),90%,主力强力介入，建议积极跟进或加仓。
2026-01-06,600618,氯碱化工,13.18,10.02,1.58,量增价涨 (主升),90%,主力强力介入，建议积极跟进或加仓。
2026-01-06,601636,旗滨集团,6.45,3.53,1.57,量增价涨 (主升),90%,主力强力介入，建议积极跟进或加仓。
2026-01-06,603599,广信股份,11.97,3.46,1.57,量增价涨 (主升),90%,主力强力介入，建议积极跟进或加仓。
2026-01-06,000707,未知,6.23,2.13,1.56,量增价涨 (主升),90%,主力强力介入，建议积极跟进或加仓。
2026-01-06,601198,东兴证券,14.34,2.28,1.56,量增价涨 (主升),90%,主力强力介入，建议积极跟进或加仓。
2026-01-06,600375,汉马科技,6.15,2.67,1.55,量增价涨 (主升),90%,主力强力介入，建议积极跟进或加仓。
2026-01-06,600769,祥龙电业,13.29,4.48,1.55,量增价涨 (主升),90%,主力强力介入，建议积极跟进或加仓。
2026-01-06,002941,未知,16.61,3.49,1.55,量增价涨 (主升),90%,主力强力介入，建议积极跟进或加仓。
2026-01-06,603027,千禾味业,10.34,3.09,1.55,量增价涨 (主升),90%,主力强力介入，建议积极跟进或加仓。
2026-01-06,600513,联环药业,19.49,2.26,1.55,量增价涨 (主升),90%,主力强力介入，建议积极跟进或加仓。
2026-01-06,002357,未知,10.92,2.34,1.55,量增价涨 (主升),90%,主力强力介入，建议积极跟进或加仓。
2026-01-06,000422,未知,15.09,3.85,1.54,量增价涨 (主升),90%,主力强力介入，建议积极跟进或加仓。
2026-01-06,601766,中国中车,7.06,2.02,1.54,量增价涨 (主升),90%,主力强力介入，建议积极跟进或加仓。
2026-01-06,600623,华谊集团,8.28,5.88,1.54,量增价涨 (主升),90%,主力强力介入，建议积极跟进或加仓。
2026-01-06,603299,苏盐井神,10.66,2.7,1.54,量增价涨 (主升),90%,主力强力介入，建议积极跟进或加仓。
2026-01-06,600733,北汽蓝谷,8.29,2.98,1.53,量增价涨 (主升),90%,主力强力介入，建议积极跟进或加仓。
2026-01-06,002064,未知,11.34,3.0,1.53,量增价涨 (主升),90%,主力强力介入，建议积极跟进或加仓。
2026-01-06,002107,未知,6.81,3.34,1.52,量增价涨 (主升),90%,主力强力介入，建议积极跟进或加仓。
2026-01-06,000555,未知,17.47,3.07,1.52,量增价涨 (主升),90%,主力强力介入，建议积极跟进或加仓。
2026-01-06,600048,保利发展,6.48,2.53,1.52,量增价涨 (主升),90%,主力强力介入，建议积极跟进或加仓。
2026-01-06,601083,锦江航运,11.43,2.33,1.51,量增价涨 (主升),90%,主力强力介入，建议积极跟进或加仓。
2026-01-06,000830,未知,17.64,7.63,1.5,量增价涨 (主升),90%,主力强力介入，建议积极跟进或加仓。
