日期,代码,名称,收盘,涨跌幅%,成交量,战法信号,买入信号强度,操作建议
2026-01-06,601198,东兴证券,14.34,2.28,736971,量增价涨,90%,健康拉升：主力推高，理想加仓/持有点。
2026-01-06,002137,实益达,8.74,1.63,155617,量增价涨,90%,健康拉升：主力推高，理想加仓/持有点。
2026-01-06,603132,金徽股份,14.95,1.98,63034,量增价涨,90%,健康拉升：主力推高，理想加仓/持有点。
2026-01-06,600470,六国化工,6.28,4.49,252918,量增价涨,90%,健康拉升：主力推高，理想加仓/持有点。
2026-01-06,002125,湘潭电化,14.51,1.68,226199,量增价涨,90%,健康拉升：主力推高，理想加仓/持有点。
2026-01-06,603316,诚邦股份,15.61,5.12,180737,量增价涨,90%,健康拉升：主力推高，理想加仓/持有点。
2026-01-06,600550,保变电气,11.06,1.94,1114537,量增价涨,90%,健康拉升：主力推高，理想加仓/持有点。
2026-01-06,002160,常铝股份,5.79,10.08,1006391,量增价涨,90%,健康拉升：主力推高，理想加仓/持有点。
2026-01-06,000555,神州信息,17.47,3.07,680411,量增价涨,90%,健康拉升：主力推高，理想加仓/持有点。
2026-01-06,002582,好想你,11.76,3.16,335200,量增价涨,90%,健康拉升：主力推高，理想加仓/持有点。
2026-01-06,000576,甘化科工,10.7,1.61,110878,量增价涨,90%,健康拉升：主力推高，理想加仓/持有点。
2026-01-06,603085,天成自控,12.15,2.27,244943,量增价涨,90%,健康拉升：主力推高，理想加仓/持有点。
2026-01-06,601886,江河集团,8.97,10.06,174081,量增价涨,90%,健康拉升：主力推高，理想加仓/持有点。
2026-01-06,600601,方正科技,12.6,2.52,2906434,量增价涨,90%,健康拉升：主力推高，理想加仓/持有点。
2026-01-06,605001,威奥股份,7.96,3.92,242251,量增价涨,90%,健康拉升：主力推高，理想加仓/持有点。
2026-01-06,002953,日丰股份,11.8,1.9,85556,量增价涨,90%,健康拉升：主力推高，理想加仓/持有点。
2026-01-06,000948,南天信息,18.71,4.06,225954,量增价涨,90%,健康拉升：主力推高，理想加仓/持有点。
2026-01-06,600078,澄星股份,10.99,10.01,430450,量增价涨,90%,健康拉升：主力推高，理想加仓/持有点。
2026-01-06,603103,横店影视,17.2,2.38,86125,量增价涨,90%,健康拉升：主力推高，理想加仓/持有点。
2026-01-06,000728,国元证券,8.76,3.79,975172,量增价涨,90%,健康拉升：主力推高，理想加仓/持有点。
2026-01-06,600999,招商证券,17.77,4.35,1412844,量增价涨,90%,健康拉升：主力推高，理想加仓/持有点。
2026-01-06,002585,双星新材,7.42,5.55,1041579,量增价涨,90%,健康拉升：主力推高，理想加仓/持有点。
2026-01-06,002731,萃华珠宝,12.87,1.58,135488,量增价涨,90%,健康拉升：主力推高，理想加仓/持有点。
2026-01-06,000925,众合科技,9.13,2.7,671510,量增价涨,90%,健康拉升：主力推高，理想加仓/持有点。
2026-01-06,601108,财通证券,9.05,2.96,1155009,量增价涨,90%,健康拉升：主力推高，理想加仓/持有点。
2026-01-06,600398,海澜之家,6.17,1.82,430361,量增价涨,90%,健康拉升：主力推高，理想加仓/持有点。
2026-01-06,600621,华鑫股份,15.88,2.92,309531,量增价涨,90%,健康拉升：主力推高，理想加仓/持有点。
2026-01-06,600409,三友化工,6.55,6.5,1043055,量增价涨,90%,健康拉升：主力推高，理想加仓/持有点。
2026-01-06,603155,新亚强,17.76,3.8,69843,量增价涨,90%,健康拉升：主力推高，理想加仓/持有点。
2026-01-06,001236,弘业期货,10.96,3.01,209459,量增价涨,90%,健康拉升：主力推高，理想加仓/持有点。
2026-01-06,002339,积成电子,9.34,2.64,429050,量增价涨,90%,健康拉升：主力推高，理想加仓/持有点。
2026-01-06,002774,快意电梯,11.23,9.99,243715,量增价涨,90%,健康拉升：主力推高，理想加仓/持有点。
2026-01-06,002182,宝武镁业,16.95,9.07,790750,量增价涨,90%,健康拉升：主力推高，理想加仓/持有点。
2026-01-06,002114,罗平锌电,8.7,2.96,195170,量增价涨,90%,健康拉升：主力推高，理想加仓/持有点。
2026-01-06,001217,华尔泰,13.78,5.19,278967,量增价涨,90%,健康拉升：主力推高，理想加仓/持有点。
2026-01-06,000990,诚志股份,8.08,2.41,218259,量增价涨,90%,健康拉升：主力推高，理想加仓/持有点。
2026-01-06,601956,东贝集团,7.27,1.68,158056,量增价涨,90%,健康拉升：主力推高，理想加仓/持有点。
